datetime,dO18,dD
1/2/2020 11:45:00,-7.38,-49.8
1/2/2020 11:54:00,-3.19,-34.79
1/2/2020 12:10:00,-7.43,-47.04
1/2/2020 12:15:00,-7.44,-46.84
1/2/2020 12:25:00,-7.44,-46.67
1/2/2020 12:35:00,-7.29,-45.53
1/2/2020 12:45:00,-7.37,-46.19
1/2/2020 13:00:00,-7.39,-46.14
2/7/2020 13:27:00,NA,NA
2/7/2020 13:03:00,-7.38,-47.45
2/7/2020 13:03:00,NA,NA
3/16/2020 10:53:00,NA,NA
3/16/2020 10:53:00,NA,NA
3/17/2020 10:32:00,NA,NA
4/5/2020 13:40:00,-8.05,-50.16
4/5/2020 13:30:00,-8.05,-49.7
4/5/2020 13:30:00,NA,NA
3/27/2020 10:15:00,-7.94,-49.88
4/9/2020 9:37:00,-7.74,-48.64
4/21/2020 9:25:00,NA,NA
5/19/2020 9:30:00,-7.18,-44.86
6/2/2020 10:40:00,-7.31,-45.51
7/22/2020 6:56:00,-7.19,-45.15
7/22/2020 7:18:00,-5.18,-38.5
7/22/2020 7:34:00,-7.34,-45.73
7/22/2020 7:44:00,-7.29,-45.97
7/22/2020 8:04:00,-5.81,-39.74
7/22/2020 8:27:00,-7.23,-45.22
7/22/2020 8:46:00,-7.2,-45.04
7/22/2020 9:52:00,-7.14,-44.76
7/22/2020 9:00:00,NA,NA
7/22/2020 11:12:00,-7.26,-45.36
1/21/2021 12:04:00,-7.12,-45.24
1/21/2021 12:04:00,-6.91,-43.56
1/21/2021 13:00:00,-6.98,-44.21
1/21/2021 13:00:00,-6.95,-44.05
1/28/2021 3:00:00,-6.79,-48.58
1/28/2021 5:00:00,-8.05,-56.35
1/28/2021 6:30:00,-8.77,-59.59
1/28/2021 8:00:00,-8.96,-59.7
1/28/2021 7:00:00,-9.17,-61.24
1/28/2021 0:00:00,-7.89,-51.79
1/28/2021 5:30:00,-8.44,-56.56
1/27/2021 21:00:00,-7.96,-52.53
1/28/2021 4:00:00,-8.13,-54.05
1/27/2021 19:00:00,NA,NA
1/27/2021 20:00:00,NA,NA
1/27/2021 22:00:00,NA,NA
1/28/2021 0:00:00,NA,NA
1/28/2021 5:00:00,NA,NA
1/28/2021 6:00:00,NA,NA
1/28/2021 7:00:00,NA,NA
1/28/2021 8:00:00,NA,NA
1/28/2021 11:00:00,NA,NA
1/28/2021 12:00:00,NA,NA
1/28/2021 13:00:00,NA,NA
1/29/2021 12:00:00,-9.33,-62.01
1/29/2021 13:00:00,NA,NA
1/30/2021 6:00:00,NA,NA
1/29/2021 11:00:00,-8.85,-58.16
1/29/2021 14:00:00,NA,NA
1/29/2021 15:00:00,NA,NA
1/29/2021 17:00:00,-9.12,-60.57
1/29/2021 20:00:00,NA,NA
1/30/2021 11:30:00,-8.65,-56.87
1/28/2021 16:00:00,NA,NA
1/30/2021 14:00:00,NA,NA
1/29/2021 2:00:00,NA,NA
1/28/2021 18:00:00,NA,NA
1/28/2021 20:00:00,NA,NA
2/2/2021 10:00:00,-8.25,-53.4
2/2/2021 5:00:00,-8.31,-54.06
2/2/2021 7:00:00,-8.2,-53.33
2/2/2021 8:00:00,-8.21,-53.49
2/2/2021 0:00:00,-8.27,-54.5
2/2/2021 14:00:00,-8.3,-53.45
2/2/2021 14:00:00,NA,NA
2/2/2021 12:00:00,NA,NA
2/2/2021 20:00:00,NA,NA
2/3/2021 0:00:00,NA,NA
2/4/2021 14:00:00,NA,NA
2/4/2021 14:00:00,-8.02,-52.69
2/2/2021 16:00:00,-8.19,-53.32
2/2/2021 20:00:00,-8.01,-52.46
2/3/2021 8:00:00,-7.82,-52.22
2/4/2021 12:00:00,-7.67,-51.29
2/13/2021 10:00:00,-7.53,-48.36
2/13/2021 12:00:00,-7.6,-48.7
2/13/2021 2:00:00,-7.58,-48.8
2/12/2021 10:00:00,-7.69,-49.69
2/13/2021 6:00:00,-7.41,-48.6
2/12/2021 22:00:00,NA,NA
2/15/2021 11:30:00,-7.62,-49.38
2/12/2021 0:00:00,-7.66,-49.6
2/11/2021 20:00:00,-7.69,-49.77
2/20/2021 12:00:00,-7.53,-49.21
3/2/2021 10:20:00,-7.38,-47.6
3/9/2021 13:00:00,-8.42,-47.28
3/10/2021 3:00:00,-7.49,-47.75
3/10/2021 9:00:00,-7.48,-47.83
3/10/2021 11:00:00,-7.07,-46.6
3/10/2021 17:00:00,-7.59,-47.9
3/11/2021 0:00:00,-6.71,-45.88
3/11/2021 12:00:00,-7.24,-46.17
3/9/2021 9:30:00,-7.03,-47.26
3/10/2021 8:00:00,-7.81,-49.53
3/14/2021 16:00:00,-5.45,-41.67
3/14/2021 18:00:00,-7.43,-47.14
3/14/2021 20:00:00,-7.42,-46.89
3/14/2021 22:00:00,-7.39,-46.39
3/15/2021 0:00:00,-7.56,-47.77
3/15/2021 3:00:00,-7.49,-47.21
3/15/2021 18:00:00,-7.49,-47.1
3/18/2021 0:00:00,NA,NA
3/18/2021 12:00:00,-7.68,-48.21
3/18/2021 17:00:00,-7.64,-47.77
3/18/2021 19:00:00,-7.68,-47.98
3/18/2021 21:00:00,-7.66,-47.87
3/19/2021 1:00:00,-7.63,-48.04
3/19/2021 4:00:00,-5.14,-41.26
3/19/2021 10:00:00,-7.8,-48.77
3/18/2021 14:30:00,NA,NA
3/18/2021 19:30:00,NA,NA
3/18/2021 21:30:00,NA,NA
3/19/2021 1:30:00,NA,NA
3/19/2021 4:30:00,NA,NA
3/19/2021 10:30:00,NA,NA
3/19/2021 12:00:00,-7.76,-48.8
3/19/2021 18:00:00,-7.85,-48.99
3/20/2021 0:00:00,-7.85,-49.1
3/20/2021 12:00:00,-7.87,-49.18
3/21/2021 6:00:00,-7.61,-48.5
3/21/2021 15:00:00,-7.8,-49.38
3/22/2021 9:00:00,-7.79,-49.17
4/4/2021 11:00:00,-7.35,-46.7
4/13/2021 17:00:00,-7.2,-45.78
4/21/2021 9:10:00,-7.12,-45.48
4/27/2021 10:00:00,-7.04,-44.97
6/23/2021 12:00:00,-7.15,-45.47
6/29/2021 12:00:00,-7.49,-47.11
10/25/2021 0:00:00,-5.61,-33.39
10/25/2021 2:00:00,-6.61,-41.12
10/25/2021 4:00:00,-6.61,-41.04
10/25/2021 8:00:00,-6.49,-40.65
10/25/2021 10:00:00,-6.64,-41.33
10/25/2021 12:00:00,-6.38,-40.11
10/25/2021 16:00:00,NA,NA
10/26/2021 0:00:00,-6.74,-42.29
10/26/2021 12:00:00,-6.68,-41.9
10/27/2021 8:00:00,-6.62,-41.67
12/13/2021 16:00:00,-6.76,-43.35
12/13/2021 18:00:00,-6.89,-43.03
12/13/2021 20:00:00,-6.89,-42.53
12/13/2021 22:00:00,-6.98,-42.69
12/14/2021 0:00:00,-6.95,-41.93
12/14/2021 2:00:00,-7.15,-42.87
12/14/2021 4:00:00,-7.21,-43.14
12/14/2021 6:00:00,-7.19,-43.35
12/15/2021 2:00:00,-6.91,-41.58
12/15/2021 6:00:00,-7.09,-43.02
12/15/2021 17:30:00,-7.06,-42.91
12/16/2021 3:30:00,-7.07,-42.32
12/16/2021 5:30:00,-7.01,-42.01
12/16/2021 9:30:00,-7.11,-42.8
12/16/2021 15:30:00,-7.08,-42.68
12/17/2021 5:30:00,-7.02,-42.38
12/17/2021 18:30:00,-6.88,-42.54
12/17/2021 20:30:00,-6.87,-42.06
12/17/2021 22:30:00,-7.02,-42.58
12/18/2021 0:30:00,-6.79,-41.49
12/18/2021 2:30:00,-6.85,-41.55
12/18/2021 6:30:00,-6.7,-41.79
12/18/2021 8:30:00,-7.04,-42.59
12/18/2021 12:30:00,-6.86,-42.18
12/22/2021 13:00:00,-6.91,-42.24
12/23/2021 1:00:00,-6.95,-42.41
12/23/2021 13:00:00,-6.98,-41.23
12/24/2021 1:00:00,-6.93,-41.51
12/24/2021 13:00:00,-7.05,-41.49
12/25/2021 1:00:00,-7.02,-41.76
12/25/2021 13:00:00,-7.03,-41.62
12/26/2021 1:00:00,-7.01,-41.31
12/26/2021 13:00:00,-7.12,-42.07
12/27/2021 1:00:00,-7.2,-42.29
12/27/2021 13:00:00,-7.49,-44.01
12/28/2021 1:00:00,-7.34,-43.29
12/28/2021 13:00:00,-7.31,-43.35
12/29/2021 1:00:00,-7.35,-43.9
12/31/2021 11:00:00,-7.27,-43.96
1/2/2022 0:00:00,-7.63,-43.36
1/3/2022 0:00:00,-7.27,-43.88
1/4/2022 0:00:00,-7.24,-44.02
1/5/2022 0:00:00,-7.12,-43.6
1/8/2022 12:00:00,-6.99,-42.43
1/9/2022 12:00:00,-7.19,-43.94
1/10/2022 12:00:00,-7.23,-44.1
1/17/2022 6:00:00,-7.17,-43.89
1/21/2022 11:30:00,-7.19,-44.38
1/27/2022 12:00:00,-7.01,-43.61
1/28/2022 12:00:00,-7,-43.53
2/2/2022 12:00:00,-7,-43.32
2/3/2022 12:30:00,-6.88,-43.17
2/9/2022 12:00:00,-6.86,-42.88
2/10/2022 12:00:00,-6.85,-42.83
2/11/2022 10:00:00,-6.86,-42.73
3/1/2022 13:20:00,-6.8,-42.78
2/1/2022 12:00:00,-6.68,-42.16
4/22/2022 9:00:00,-6.66,-40.85
6/29/2022 0:00:00,-7.16,-45.18
6/29/2022 0:00:00,-7.08,-44.51
6/29/2022 0:00:00,-6.87,-43.49
6/29/2022 0:00:00,-7.18,-45.11
12/12/2022 9:45:00,-7.67,-46.8
12/12/2022 10:40:00,-7.66,-46.66
12/27/2022 8:00:00,-7.34,-46.86
12/27/2022 12:30:00,-7.2,-45.91
